id	category	sub_category	brand_name	furniture_korean_name	furniture_english_name	color_korean_name	color_english_name	price	thumbnail_image_url	main_image_url	detail_image_url	is_new
1	chair	바 체어	&Tradition	리볼버 바스툴 H65	Revolver Bar Stool H65	블랙	black	120000 	https://oka7759.github.io/2sa_images/s001.png	https://oka7759.github.io/2sa_images/001.jpg	https://oka7759.github.io/2sa_images/001.jpg	False
2	chair	바 체어	&Tradition	리볼버 바스툴 H65	Revolver Bar Stool H65	화이트	white	120000 	https://oka7759.github.io/2sa_images/s001.png	https://oka7759.github.io/2sa_images/001.jpg	https://oka7759.github.io/2sa_images/001.jpg	False
3	chair	바 체어	&Tradition	리볼버 바스툴 H65	Revolver Bar Stool H65	레드	red	150000 	https://oka7759.github.io/2sa_images/s001.png	https://oka7759.github.io/2sa_images/001.jpg	https://oka7759.github.io/2sa_images/001.jpg	True
4	sofa	가죽 소파	Alessi	테디 소파	Teddy Sofa	화이트	white	68000 	https://oka7759.github.io/2sa_images/s002.png	https://oka7759.github.io/2sa_images/002.jpg	https://oka7759.github.io/2sa_images/002.jpg	False
5	sofa	가죽 소파	Alessi	테디 소파	Teddy Sofa	올리브	olive	78000 	https://oka7759.github.io/2sa_images/s002.png	https://oka7759.github.io/2sa_images/002.jpg	https://oka7759.github.io/2sa_images/002.jpg	True
6	sofa	가죽 소파	Alessi	도나 텔로 2인	Donatello 2 Seater	초코	choco	75000	https://oka7759.github.io/2sa_images/s003.png	https://oka7759.github.io/2sa_images/003.jpg	https://oka7759.github.io/2sa_images/003.jpg	False
7	sofa	가죽 소파	Alessi	도나 텔로 2인	Donatello 2 Seater	블랙	black	85000	https://oka7759.github.io/2sa_images/s003.png	https://oka7759.github.io/2sa_images/003.jpg	https://oka7759.github.io/2sa_images/003.jpg	False
8	sofa	가죽 소파	Alessi	도나 텔로 2인	Donatello 2 Seater	앤티크	antique	100000	https://oka7759.github.io/2sa_images/s003.png	https://oka7759.github.io/2sa_images/003.jpg	https://oka7759.github.io/2sa_images/003.jpg	True
9	chair	라운지 체어	&Tradition	팔리사드 쉐이즈 롱	Palissade Chaise	우드	wood	82000	https://oka7759.github.io/2sa_images/s004.png	https://oka7759.github.io/2sa_images/004.jpg	https://oka7759.github.io/2sa_images/004.jpg	False
10	chair	라운지 체어	&Tradition	팔리사드 쉐이즈 롱	Palissade Chaise	올리브	olive	82000	https://oka7759.github.io/2sa_images/s004.png	https://oka7759.github.io/2sa_images/004.jpg	https://oka7759.github.io/2sa_images/004.jpg	False
11	chair	라운지 체어	&Tradition	팔리사드 쉐이즈 롱	Palissade Chaise	화이트	white	82000	https://oka7759.github.io/2sa_images/s004.png	https://oka7759.github.io/2sa_images/004.jpg	https://oka7759.github.io/2sa_images/004.jpg	False
12	chair	바 체어	ARCHITECTMADE	팔리사드 바스툴 	Palissade bar stool	베이지	beige	55000	https://oka7759.github.io/2sa_images/s005.png	https://oka7759.github.io/2sa_images/005.jpg	https://oka7759.github.io/2sa_images/005.jpg	False
13	chair	라운지 체어	artek 	비트라 그랜드 레포스	Grand Repos	옐로우	yellow	59000	https://oka7759.github.io/2sa_images/s006.png	https://oka7759.github.io/2sa_images/006.jpg	https://oka7759.github.io/2sa_images/006.jpg	False
14	chair	라운지 체어	artek 	비트라 그랜드 레포스	Grand Repos	오크	oak	59000	https://oka7759.github.io/2sa_images/s006.png	https://oka7759.github.io/2sa_images/006.jpg	https://oka7759.github.io/2sa_images/006.jpg	False
15	chair	라운지 체어	artek 	비트라 그랜드 레포스	Grand Repos	그레이	gray	59000	https://oka7759.github.io/2sa_images/s006.png	https://oka7759.github.io/2sa_images/006.jpg	https://oka7759.github.io/2sa_images/006.jpg	False
16	table	다이닝 테이블	Anglepoise	라이트 라운드 마블 다이닝	Right Round Marble Dining	화이트	white	300000	https://oka7759.github.io/2sa_images/s007.png	https://oka7759.github.io/2sa_images/007.jpg	https://oka7759.github.io/2sa_images/007.jpg	False
17	table	다이닝 테이블	Anglepoise	라이트 라운드 마블 다이닝	Right Round Marble Dining	블랙	black	400000	https://oka7759.github.io/2sa_images/s007.png	https://oka7759.github.io/2sa_images/007.jpg	https://oka7759.github.io/2sa_images/007.jpg	True
18	table	다이닝 테이블	artek 	CPH30 테이블	CPH30 table	화이트	white	670000 	https://oka7759.github.io/2sa_images/s008.png	https://oka7759.github.io/2sa_images/008.jpg	https://oka7759.github.io/2sa_images/008.jpg	False
19	table	다이닝 테이블	artek 	CPH30 테이블	CPH30 table	레드	red	670000 	https://oka7759.github.io/2sa_images/s008.png	https://oka7759.github.io/2sa_images/008.jpg	https://oka7759.github.io/2sa_images/008.jpg	False
20	table	다이닝 테이블	artek 	CPH30 테이블	CPH30 table	블루	blue	670000 	https://oka7759.github.io/2sa_images/s008.png	https://oka7759.github.io/2sa_images/008.jpg	https://oka7759.github.io/2sa_images/008.jpg	False
21	bed	프레임 침대	&Tradition	헝커 킹 베드	Hunker King Bed	우드	wood	1200000	https://oka7759.github.io/2sa_images/s009.png	https://oka7759.github.io/2sa_images/009.jpg	https://oka7759.github.io/2sa_images/009.jpg	False
22	bed	프레임 침대	&Tradition	헝커 킹 베드	Hunker King Bed	그레이	gray	1200000	https://oka7759.github.io/2sa_images/s009.png	https://oka7759.github.io/2sa_images/009.jpg	https://oka7759.github.io/2sa_images/009.jpg	False
23	bed	프레임 침대	&Tradition	헝커 킹 베드	Hunker King Bed	화이트	white	1500000	https://oka7759.github.io/2sa_images/s009.png	https://oka7759.github.io/2sa_images/009.jpg	https://oka7759.github.io/2sa_images/009.jpg	True
24	closet	서랍장	image republic	7단 피봇 캐비넷	7 Step Pivot cabinet	화이트	white	450000	https://oka7759.github.io/2sa_images/s010.png	https://oka7759.github.io/2sa_images/010.jpg	https://oka7759.github.io/2sa_images/010.jpg	True
25	closet	서랍장	Dottus	6단 멀티 캐비넷	6 step multi cabinet	오크	oak	420000	https://oka7759.github.io/2sa_images/s011.png	https://oka7759.github.io/2sa_images/011.jpg	https://oka7759.github.io/2sa_images/011.jpg	True
26	bed	프레임 침대	&Tradition	헝커 베드 킹 에드워드	Hunker King Bed Edwards	우드	wood	1700000	https://oka7759.github.io/2sa_images/s012.png	https://oka7759.github.io/2sa_images/012.jpg	https://oka7759.github.io/2sa_images/012.jpg	False
27	bed	프레임 침대	&Tradition	헝커 베드 킹 에드워드	Hunker King Bed Edwards	라이트그레이	light gray	1700000	https://oka7759.github.io/2sa_images/s012.png	https://oka7759.github.io/2sa_images/012.jpg	https://oka7759.github.io/2sa_images/012.jpg	False
28	closet	거실장	&Tradition	당 롱 앤 로우	Dang Long and Low	그레이	grey	240000 	https://oka7759.github.io/2sa_images/s013.png	https://oka7759.github.io/2sa_images/013.jpg	https://oka7759.github.io/2sa_images/013.jpg	True
29	bed	프레임 침대	ARCHITECTMADE	나탈리아 헤드보드	Natalia Headboard	옐로우	yellow	2450000	https://oka7759.github.io/2sa_images/s014.png	https://oka7759.github.io/2sa_images/014.jpg	https://oka7759.github.io/2sa_images/014.jpg	False
30	bed	프레임 침대	ARCHITECTMADE	나탈리아 헤드보드	Natalia Headboard	레드	red	2450000	https://oka7759.github.io/2sa_images/s014.png	https://oka7759.github.io/2sa_images/014.jpg	https://oka7759.github.io/2sa_images/014.jpg	False
31	bed	프레임 침대	ARCHITECTMADE	나탈리아 헤드보드	Natalia Headboard	블루	blue	2450000	https://oka7759.github.io/2sa_images/s014.png	https://oka7759.github.io/2sa_images/014.jpg	https://oka7759.github.io/2sa_images/014.jpg	False
32	sofa	가죽 소파	Anglepoise	퍼프 퍼프 소파	Puff Puff Sofa	화이트	white	920000	https://oka7759.github.io/2sa_images/s015.png	https://oka7759.github.io/2sa_images/015.jpg	https://oka7759.github.io/2sa_images/015.jpg	False
33	sofa	가죽 소파	Anglepoise	퍼프 퍼프 소파	Puff Puff Sofa	레드	red	950000	https://oka7759.github.io/2sa_images/s015.png	https://oka7759.github.io/2sa_images/015.jpg	https://oka7759.github.io/2sa_images/015.jpg	False
34	sofa	가죽 소파	Anglepoise	퍼프 퍼프 소파	Puff Puff Sofa	초코	choco	980000	https://oka7759.github.io/2sa_images/s015.png	https://oka7759.github.io/2sa_images/015.jpg	https://oka7759.github.io/2sa_images/015.jpg	True
35	table	사이드 테이블	artek 	하이드 페데스탈 H70	Hide Pedestal H70	오크	oak	410000	https://oka7759.github.io/2sa_images/s016.png	https://oka7759.github.io/2sa_images/016.jpg	https://oka7759.github.io/2sa_images/016.jpg	True
36	table	사이드 테이블	artek 	하이드 페데스탈 H70	Hide Pedestal H70	네추럴	natural	450000	https://oka7759.github.io/2sa_images/s016.png	https://oka7759.github.io/2sa_images/016.jpg	https://oka7759.github.io/2sa_images/016.jpg	True
37	sofa	페브릭 소파	&Tradition	스로 소파 내추럴	Throw Sofa Natural	그레이	grey	2700000	https://oka7759.github.io/2sa_images/s017.png	https://oka7759.github.io/2sa_images/017.jpg	https://oka7759.github.io/2sa_images/017.jpg	False
38	closet	거실장	image republic	미디어 스탠드	Media Stand	화이트	white	230000	https://oka7759.github.io/2sa_images/s018.png	https://oka7759.github.io/2sa_images/018.jpg	https://oka7759.github.io/2sa_images/018.jpg	False
39	closet	거실장	image republic	미디어 스탠드	Media Stand	월넛	walnut	330000	https://oka7759.github.io/2sa_images/s018.png	https://oka7759.github.io/2sa_images/018.jpg	https://oka7759.github.io/2sa_images/018.jpg	False
40	closet	서랍장	ARCHITECTMADE	까비네 102 로우 2 도어	KABINE 102 Low 2 Door	오크	oak	890000	https://oka7759.github.io/2sa_images/s019.png	https://oka7759.github.io/2sa_images/019.jpg	https://oka7759.github.io/2sa_images/019.jpg	False
41	closet	서랍장	ARCHITECTMADE	까비네 102 로우 2 도어	KABINE 102 Low 2 Door	블랙	black	1290000	https://oka7759.github.io/2sa_images/s019.png	https://oka7759.github.io/2sa_images/019.jpg	https://oka7759.github.io/2sa_images/019.jpg	False
42	sofa	페브릭 소파	Dottus	도나텔로2인	Donatello 2	올리브	olive	600000 	https://oka7759.github.io/2sa_images/s020.png	https://oka7759.github.io/2sa_images/020.jpg	https://oka7759.github.io/2sa_images/020.jpg	False
43	sofa	페브릭 소파	Dottus	도나텔로2인	Donatello 2	라이트그레이	light gray	700000 	https://oka7759.github.io/2sa_images/s020.png	https://oka7759.github.io/2sa_images/020.jpg	https://oka7759.github.io/2sa_images/020.jpg	False
44	table	다이닝 테이블	&Tradition	Two Colour Table Ø105	투 컬러 테이블 Ø105	오크	oak	470000	https://oka7759.github.io/2sa_images/s021.png	https://oka7759.github.io/2sa_images/021.jpg	https://oka7759.github.io/2sa_images/021.jpg	False
45	sofa	페브릭 소파	ARCHITECTMADE	앳우드 체어	ATWOOD CHAIR	스카이블루	skyblue	420000	https://oka7759.github.io/2sa_images/s022.png	https://oka7759.github.io/2sa_images/022.jpg	https://oka7759.github.io/2sa_images/022.jpg	False
46	sofa	가죽 소파	Anglepoise	마곳 소파	MARGOT SOFA	우드	wood	6400000	https://oka7759.github.io/2sa_images/s023.png	https://oka7759.github.io/2sa_images/023.jpg	https://oka7759.github.io/2sa_images/023.jpg	False
47	sofa	페브릭소파	artek 	팔로 소파	Palo Corner Sofa	그린	green	1100000	https://oka7759.github.io/2sa_images/s024.png	https://oka7759.github.io/2sa_images/024.jpg	https://oka7759.github.io/2sa_images/024.jpg	True
48	closet	거실장	&Tradition	당 1 도어 / 3 드로워 콘솔	Dang 1 Door / 3 Drawer	블랙	black	300000 	https://oka7759.github.io/2sa_images/s025.png	https://oka7759.github.io/2sa_images/025.jpg	https://oka7759.github.io/2sa_images/025.jpg	True
